ctag	ch	ch_female
Tag_NationId	42	42
Tag_Language	简体中文	简体中文
1st Team	第一队	第一队
Abilities	能力	能力
About	关于	关于
Accept	接受	接受
Achievement	成就	成就
ACHIEVEMENT_1	升级培训地面	升级培训地面
ACHIEVEMENT_10	建立俱乐部商店	建立俱乐部商店
ACHIEVEMENT_11	建立一个医疗单位	建立一个医疗单位
ACHIEVEMENT_12	雇用医生	雇用医生
ACHIEVEMENT_13	建立球探办公室	建立球探办公室
ACHIEVEMENT_14	雇用球探	雇用球探
ACHIEVEMENT_15	升级健身中心	升级健身中心
ACHIEVEMENT_16	举行成功的新闻发布会	举行成功的新闻发布会
ACHIEVEMENT_17	建立一个青年学院	建立一个青年学院
ACHIEVEMENT_18	升级场地	升级场地
ACHIEVEMENT_19	赢得联赛	赢得联赛
ACHIEVEMENT_20	赢得杯赛	赢得杯赛
ACHIEVEMENT_21	赢得锦标赛	赢得锦标赛
ACHIEVEMENT_22	赢得欧陆俱乐部比赛	赢得欧陆俱乐部比赛
ACHIEVEMENT_23	赢得欧陆俱乐部锦标赛	赢得欧陆俱乐部锦标赛
ACHIEVEMENT_24	进一个球	进一个球
ACHIEVEMENT_25	一场比赛进球3个球	一场比赛进球3个球
ACHIEVEMENT_26	以5个进球赢得一场比赛	以5个进球赢得一场比赛
ACHIEVEMENT_27	1场比赛中传10次球	1场比赛中传10次球
ACHIEVEMENT_28	1场比赛中传20次球	1场比赛中传20次球
ACHIEVEMENT_29	升职	升职
ACHIEVEMENT_3	调整团队组成	调整团队组成
ACHIEVEMENT_30	赢得联赛冠军	赢得联赛冠军
ACHIEVEMENT_31	在联赛中保持不败	在联赛中保持不败
ACHIEVEMENT_32	三冠王(联赛杯、杯赛和大陆杯)	三冠王(联赛杯、杯赛和大陆杯)
ACHIEVEMENT_33	签署赞助协议	签署赞助协议
ACHIEVEMENT_34	购买球探	购买球探
ACHIEVEMENT_35	签约青年球员	签约青年球员
ACHIEVEMENT_36	使用NRG卡	使用NRG卡
